course_id,department,level,credits,title,description,num_assignments,num_exams,num_projects,gpa_avg,workload
ENGL301,ENGL,3000,3,Advanced Academic Writing,"Close reading and analysis of canonical American texts. Weekly responses, two essays, midterm and final.",4,2,0,3.3,medium
KNES100,KNES,1000,1,Introduction to Physical Fitness and Health,"Beginner fitness course. Pass/fail. Attendance is the primary requirement; no exams or written assignments.",0,0,0,4.0,low
KNES360,KNES,3000,3,Exercise Physiology,"Physiology of physical activity and exercise. Lab assignments, two midterms, final, and a fitness project.",4,3,1,3.2,medium
MUSC201,MUSC,2000,3,Music Theory,"Fundamentals of music theory and composition. Weekly exercises, two exams, and a composition project.",6,2,1,3.5,medium
ARTT200,ARTT,2000,3,Introduction to Drawing,"Studio art course focused on observational drawing. Weekly studio assignments and a portfolio review at end of semester.",8,0,0,3.7,low
ARTT360,ARTT,3000,3,Advanced Painting,"Upper-division studio art. Weekly critiques, project proposals, and a final portfolio. Requires significant out-of-class studio time.",10,0,1,3.6,medium
NURS310,NURS,3000,3,Foundations of Community Health Nursing,"Introduction to public health nursing concepts. Two exams, short weekly reflections, and a community assessment project.",2,2,1,3.4,low
NURS456,NURS,4000,4,Advanced Clinical Practicum,"Advanced clinical nursing practice. Extensive clinical hours, weekly reflective journals, case study presentations, and a comprehensive final portfolio.",8,1,1,3.2,high
STAT400,STAT,4000,3,Applied Probability and Statistics I,"Probability theory, distributions, and inference. Weekly problem sets, two midterms and a final exam.",8,3,0,3.0,medium
STAT410,STAT,4000,3,Introduction to Probability Theory,"Advanced statistical theory and estimation. Weekly problem sets with proofs, midterm and final exam.",10,2,0,2.9,high
COMM107,COMM,1000,3,Oral Communication,"Survey of communication theory and practice. Two exams and a short presentation; minimal weekly work.",0,2,0,3.5,low
COMM380,COMM,3000,3,Media and Society,"Reading-heavy seminar with weekly reaction posts, a midterm exam, and a final investigative journalism project.",6,1,1,3.3,medium
PHIL100,PHIL,1000,3,Introduction to Philosophy,"Survey of major philosophical problems and thinkers. Weekly readings, two take-home essays, and a final exam.",2,1,0,3.5,low
PHIL308,PHIL,3000,3,Epistemology,"Advanced seminar on theories of knowledge. Weekly response papers, a midterm essay, and a long final paper.",8,0,1,3.2,medium
INST326,INST,3000,3,Object-Oriented Programming for Information Science,"Object-oriented programming in Python applied to information problems. Weekly programming assignments, two midterms, and a final project.",8,2,1,3.0,medium
INST414,INST,4000,3,Big Data and Machine Learning,"Machine learning methods for large datasets. Demanding weekly programming assignments, midterm exam, and a semester-long data science project.",10,1,1,2.8,high
